model,repeat,fold,auroc,auprc,n_test,n_pos_test
icu_physiology (previous),0,0,0.43780487804878043,0.1864247062461348,51,10
icu_physiology (previous),0,1,0.4794871794871795,0.24275408769973988,49,10
icu_physiology (previous),0,2,0.3225,0.19124791635474692,50,10
icu_physiology (previous),0,3,0.5548780487804879,0.27711866564807747,53,12
icu_physiology (previous),0,4,0.48444976076555024,0.2297320399819709,49,11
icu_physiology (previous),1,0,0.45,0.294970961357516,50,10
icu_physiology (previous),1,1,0.575609756097561,0.2900365887981987,51,10
icu_physiology (previous),1,2,0.3538461538461538,0.17862597015776427,49,10
icu_physiology (previous),1,3,0.5116550116550116,0.26032860599874064,50,11
icu_physiology (previous),1,4,0.46041666666666664,0.23979994372810975,52,12
icu_physiology (previous),2,0,0.4186991869918699,0.2468757141551259,53,12
icu_physiology (previous),2,1,0.6784188034188035,0.3464646464646465,51,12
icu_physiology (previous),2,2,0.3719512195121951,0.1643520899035605,51,10
icu_physiology (previous),2,3,0.2375,0.13008948393474448,49,9
icu_physiology (previous),2,4,0.4618421052631579,0.2244972325477234,48,10
icu_physiology (previous),3,0,0.60625,0.3196696377112446,52,12
icu_physiology (previous),3,1,0.6261363636363636,0.3093857507853838,51,11
icu_physiology (previous),3,2,0.29583333333333334,0.13949187419926828,49,9
icu_physiology (previous),3,3,0.35365853658536583,0.17966479198599705,52,11
icu_physiology (previous),3,4,0.48947368421052634,0.23904907195525044,48,10
icu_physiology (previous),4,0,0.18125,0.13852808699459684,50,10
icu_physiology (previous),4,1,0.6092105263157894,0.29438127090301003,48,10
icu_physiology (previous),4,2,0.44125000000000003,0.18494359731572008,50,10
icu_physiology (previous),4,3,0.47875,0.23229843188922472,50,10
icu_physiology (previous),4,4,0.5084427767354597,0.2826023098011487,54,13
icu_physiology (previous),5,0,0.552439024390244,0.3089639130710559,51,10
icu_physiology (previous),5,1,0.6125,0.3110101088936831,52,12
icu_physiology (previous),5,2,0.2905982905982906,0.13998398537598353,48,9
icu_physiology (previous),5,3,0.5172764227642277,0.2631931841096995,53,12
icu_physiology (previous),5,4,0.5052631578947369,0.22718285337850558,48,10
icu_physiology (previous),6,0,0.506993006993007,0.2784302137151263,50,11
icu_physiology (previous),6,1,0.47459349593495936,0.25238063411227696,53,12
icu_physiology (previous),6,2,0.4646341463414634,0.2101458635909571,51,10
icu_physiology (previous),6,3,0.4275,0.1857233464210208,50,10
icu_physiology (previous),6,4,0.5328947368421053,0.24316773596940477,48,10
icu_physiology (previous),7,0,0.5362499999999999,0.27116912569535034,50,10
icu_physiology (previous),7,1,0.4847222222222223,0.19479782354996955,49,9
icu_physiology (previous),7,2,0.33841463414634143,0.18546007717519344,53,12
icu_physiology (previous),7,3,0.615625,0.33694962042788135,52,12
icu_physiology (previous),7,4,0.44605263157894737,0.21527540395401537,48,10
icu_physiology (previous),8,0,0.3092105263157895,0.16735388260767434,48,10
icu_physiology (previous),8,1,0.49473684210526314,0.24620615235766627,48,10
icu_physiology (previous),8,2,0.4987179487179487,0.2350357580614683,49,10
icu_physiology (previous),8,3,0.37499999999999994,0.1840564835836262,51,11
icu_physiology (previous),8,4,0.518939393939394,0.2613142188069857,56,12
