,0
sofa_24hours,1.001363001546623
hr_24h_mean,0.63206447844825
rr_24h_std,0.559478672697607
first_careunit,0.3744616673556347
hr_4h_mean,0.3033703364944722
rr_24h_slope,0.28523206332140283
map_24h_std,0.2510212148409215
sbp_24h_std,0.22049094931376464
ecg_qrs_ms,0.2118438979619938
ecg_hours_since,0.20425171590476374
temp_c_24h_mean,0.189880023597409
spo2_24h_slope,0.18450582242684424
gcs_total_24h_mean,0.167739675503835
fio2_hours_since_last_obs,0.15820930989283105
map_4h_mean,0.14347047303288515
