model,repeat,fold,auroc,auprc,n_test,n_pos_test
icu_full_lightgbm,0,0,0.7910087719298246,0.294684789612014,594,24
icu_full_lightgbm,0,1,0.7601660939289806,0.4828761463539091,606,24
icu_full_lightgbm,0,2,0.9337588028169014,0.4687825181106958,592,24
icu_full_lightgbm,0,3,0.7907894736842105,0.3252863842992555,594,24
icu_full_lightgbm,0,4,0.8939660222612771,0.5381150819614482,593,24
icu_full_lightgbm,1,0,0.9026826484018264,0.6319254589727613,608,24
icu_full_lightgbm,1,1,0.8478132387706857,0.39019259518153576,588,24
icu_full_lightgbm,1,2,0.9197718082033507,0.5144188603432799,601,24
icu_full_lightgbm,1,3,0.8449646643109541,0.49433029229248493,590,24
icu_full_lightgbm,1,4,0.8173415492957746,0.4337886183708604,592,24
icu_full_lightgbm,2,0,0.858845029239766,0.3392611284436857,594,24
icu_full_lightgbm,2,1,0.8172250859106529,0.5211932401298378,606,24
icu_full_lightgbm,2,2,0.9083773474178404,0.43721956362358755,592,24
icu_full_lightgbm,2,3,0.8312865497076023,0.3436214835985769,594,24
icu_full_lightgbm,2,4,0.9231839484475688,0.6016353718442632,593,24
icu_full_lightgbm,3,0,0.8605263157894737,0.352494651337988,594,24
icu_full_lightgbm,3,1,0.8284650630011454,0.4982363432689749,606,24
icu_full_lightgbm,3,2,0.8867370892018778,0.4683736299377646,592,24
icu_full_lightgbm,3,3,0.819078947368421,0.39612036037236453,594,24
icu_full_lightgbm,3,4,0.9109548916227299,0.5514336115036977,593,24
icu_full_lightgbm,4,0,0.9104594748858448,0.5606840662092718,608,24
icu_full_lightgbm,4,1,0.8596335697399526,0.48996720856578263,588,24
icu_full_lightgbm,4,2,0.928004043905257,0.49924340457440286,601,24
icu_full_lightgbm,4,3,0.8664605418138988,0.630004151247263,590,24
icu_full_lightgbm,4,4,0.8642899061032865,0.5141842411582471,592,24
icu_full_lightgbm,5,0,0.8179976851851852,0.4393243197052571,600,24
icu_full_lightgbm,5,1,0.8314831261101243,0.43758992833696053,587,24
icu_full_lightgbm,5,2,0.8926590776415645,0.368203494302534,595,24
icu_full_lightgbm,5,3,0.8210310486233158,0.598033176284183,593,24
icu_full_lightgbm,5,4,0.8961925287356323,0.5428030581706806,604,24
icu_full_lightgbm,6,0,0.9008949530516432,0.4841546349521288,592,24
icu_full_lightgbm,6,1,0.7940349319123742,0.41462967206394047,587,24
icu_full_lightgbm,6,2,0.9085628227194492,0.4933660752013087,605,24
icu_full_lightgbm,6,3,0.846483704974271,0.4973927458582109,607,24
icu_full_lightgbm,6,4,0.7591607565011821,0.3303181058961283,588,24
icu_full_lightgbm,7,0,0.9164469830111307,0.4807449595660144,593,24
icu_full_lightgbm,7,1,0.9142628205128205,0.4923739820074384,596,24
icu_full_lightgbm,7,2,0.8483535528596188,0.32647706957324923,601,24
icu_full_lightgbm,7,3,0.8220029239766081,0.32768010652291407,594,24
icu_full_lightgbm,7,4,0.8319468768242848,0.5625726588859711,595,24
icu_full_lightgbm,8,0,0.906523642732049,0.4723458196781023,595,24
icu_full_lightgbm,8,1,0.8442251461988304,0.4125480949764449,594,24
icu_full_lightgbm,8,2,0.9136389850057671,0.4719928594227565,602,24
icu_full_lightgbm,8,3,0.8536906854130053,0.6335208205592073,593,24
icu_full_lightgbm,8,4,0.8495329830706363,0.5182727505911671,595,24
icu_full_lightgbm,9,0,0.8695079086115993,0.6442812558547939,593,24
icu_full_lightgbm,9,1,0.680722891566265,0.2864962204285765,605,24
icu_full_lightgbm,9,2,0.8732978093546477,0.482847032840725,587,24
icu_full_lightgbm,9,3,0.8619469026548673,0.5711931007715161,589,24
icu_full_lightgbm,9,4,0.858433734939759,0.41749995155960423,605,24
icu_full_lightgbm,10,0,0.9130993150684932,0.6303575516843112,608,24
icu_full_lightgbm,10,1,0.8775856973995271,0.4718192093657574,588,24
icu_full_lightgbm,10,2,0.9309647602541883,0.5586468084485178,601,24
icu_full_lightgbm,10,3,0.6925058892815077,0.4559549714327738,590,24
icu_full_lightgbm,10,4,0.8513057511737089,0.425801852909516,592,24
icu_full_lightgbm,11,0,0.9258704337899544,0.5857777744865504,608,24
icu_full_lightgbm,11,1,0.8694592198581561,0.3940107096664685,588,24
icu_full_lightgbm,11,2,0.8822934719815135,0.45245847256969574,601,24
icu_full_lightgbm,11,3,0.8138250883392226,0.5003219570536982,590,24
icu_full_lightgbm,11,4,0.9011883802816901,0.5489525087503149,592,24
icu_full_lightgbm,12,0,0.8902582159624413,0.4575498754349126,592,24
icu_full_lightgbm,12,1,0.8633066903493191,0.4652788774766232,587,24
icu_full_lightgbm,12,2,0.9058376362593231,0.43028862676411916,605,24
icu_full_lightgbm,12,3,0.8517724413950829,0.5176375497913664,607,24
icu_full_lightgbm,12,4,0.7192671394799054,0.5008764137344901,588,24
icu_full_lightgbm,13,0,0.9099178403755869,0.46302489254182366,592,24
icu_full_lightgbm,13,1,0.8325192421551213,0.3478431923669488,587,24
icu_full_lightgbm,13,2,0.8826735513482502,0.45899921914234654,605,24
icu_full_lightgbm,13,3,0.8479130931961121,0.5325647806064475,607,24
icu_full_lightgbm,13,4,0.8088800236406619,0.49027824049588475,588,24
icu_full_lightgbm,14,0,0.8227339181286549,0.37965263100551355,594,24
icu_full_lightgbm,14,1,0.7264461626575028,0.4286920340828305,606,24
icu_full_lightgbm,14,2,0.8997212441314554,0.42568438136992565,592,24
icu_full_lightgbm,14,3,0.8005847953216374,0.4097444691681207,594,24
icu_full_lightgbm,14,4,0.8533245459871118,0.4981269939621263,593,24
icu_full_lightgbm,15,0,0.9178383128295255,0.5962775914184293,593,24
icu_full_lightgbm,15,1,0.8161933448078027,0.3216184029673317,605,24
icu_full_lightgbm,15,2,0.8818827708703375,0.4528360871515414,587,24
icu_full_lightgbm,15,3,0.8536873156342183,0.5019577737241017,589,24
icu_full_lightgbm,15,4,0.8780120481927711,0.4611278150840241,605,24
icu_full_lightgbm,16,0,0.907643779342723,0.4525266992043883,592,24
icu_full_lightgbm,16,1,0.8143132030787448,0.46708166410977675,587,24
icu_full_lightgbm,16,2,0.8859724612736661,0.45130970051425673,605,24
icu_full_lightgbm,16,3,0.8519153802172671,0.5200224809615203,607,24
icu_full_lightgbm,16,4,0.7493351063829787,0.4907848621621967,588,24
icu_full_lightgbm,17,0,0.8499710648148148,0.4931585132264948,600,24
icu_full_lightgbm,17,1,0.8625666074600356,0.516955534196439,587,24
icu_full_lightgbm,17,2,0.8428196147110333,0.37903512079002416,595,24
icu_full_lightgbm,17,3,0.8588898652606913,0.5366843927425567,593,24
icu_full_lightgbm,17,4,0.9094109195402299,0.48882841795965837,604,24
icu_full_lightgbm,18,0,0.8859953703703703,0.4799859135668034,600,24
icu_full_lightgbm,18,1,0.8958703374777974,0.5365870334166365,587,24
icu_full_lightgbm,18,2,0.8983508464681845,0.43409007028148344,595,24
icu_full_lightgbm,18,3,0.8429994141769186,0.42757274477638274,593,24
icu_full_lightgbm,18,4,0.8017959770114943,0.389809618062328,604,24
icu_full_lightgbm,19,0,0.9164469830111306,0.5932040189370088,593,24
icu_full_lightgbm,19,1,0.7926706827309237,0.27712770998217195,605,24
icu_full_lightgbm,19,2,0.8763321492007105,0.4429853724650948,587,24
icu_full_lightgbm,19,3,0.8234513274336284,0.5536729444162406,589,24
icu_full_lightgbm,19,4,0.9153040734366036,0.5709229897035814,605,24
wrist_consumer,0,0,0.7343567251461989,0.23523370776324024,594,24
wrist_consumer,0,1,0.851302978235968,0.4412415435640529,606,24
wrist_consumer,0,2,0.695862676056338,0.28384052176902685,592,24
wrist_consumer,0,3,0.645906432748538,0.1770230963402342,594,24
wrist_consumer,0,4,0.796023725834798,0.2538973075232281,593,24
wrist_consumer,1,0,0.8163527397260274,0.4000774439188899,608,24
wrist_consumer,1,1,0.8331117021276596,0.2557963819230114,588,24
wrist_consumer,1,2,0.7353408434430964,0.27172133048749164,601,24
wrist_consumer,1,3,0.6479681978798587,0.25843618039385596,590,24
wrist_consumer,1,4,0.6942488262910798,0.16347975979248378,592,24
wrist_consumer,2,0,0.7905701754385964,0.2964971376623082,594,24
wrist_consumer,2,1,0.8798682703321878,0.3781056282231725,606,24
wrist_consumer,2,2,0.7099471830985916,0.286576155489067,592,24
wrist_consumer,2,3,0.7031432748538012,0.27174785430093734,594,24
wrist_consumer,2,4,0.841095489162273,0.2749874321109944,593,24
wrist_consumer,3,0,0.6793859649122805,0.24540303969008403,594,24
wrist_consumer,3,1,0.8382016036655213,0.354226982195684,606,24
wrist_consumer,3,2,0.7587294600938966,0.26682815366893925,592,24
wrist_consumer,3,3,0.7248538011695906,0.223673507772616,594,24
wrist_consumer,3,4,0.7463386057410663,0.26365029558013153,593,24
