repeat,fold,arm,composition,k,n_fit_rows,auprc,auprc_lo,auprc_hi,auroc
0,0,trtr,real,1,2385,0.33817588954020555,0.2133945707208349,0.7158562901328258,0.8532163742690059
0,0,tstr,match,1,2385,0.46808687114358266,0.3182362512845556,0.7378136110573873,0.8989766081871344
0,0,augmented,match,1,4770,0.30007682964350624,0.18373313004139347,0.6534480784412908,0.8505847953216374
0,0,tstr,match,3,7155,0.46274553557654097,0.3051446574827791,0.7422699444182916,0.85796783625731
0,0,augmented,match,3,9540,0.44347063998390357,0.2975966390269739,0.7226229409377387,0.8809941520467837
0,0,tstr,match,10,23850,0.47151354095054204,0.30235354068411135,0.7664402905150064,0.8137426900584795
0,0,augmented,match,10,26235,0.4151676447229808,0.2642260740899558,0.7167167911010618,0.8140350877192981
0,0,tstr,balanced,1,2385,0.4945458356613839,0.32924876783524354,0.7795518927772136,0.8685672514619883
0,0,augmented,balanced,1,4770,0.4243145288668276,0.27679006146867446,0.7621523922250455,0.9152046783625731
0,0,tstr,balanced,3,7155,0.5577797189805784,0.3421463148446152,0.8639459606218081,0.8668128654970761
0,0,augmented,balanced,3,9540,0.47835613742687094,0.2657534479042628,0.8393516948384452,0.8838450292397662
0,0,tstr,balanced,10,23850,0.5056170591574092,0.32614667236993405,0.7777354202504807,0.8671052631578948
0,0,augmented,balanced,10,26235,0.5262853577291818,0.288795574769884,0.8557057095993484,0.9232456140350878
0,1,trtr,real,1,2373,0.5512957870915066,0.3480757856940193,0.9748249299719888,0.8423539518900344
0,1,tstr,match,1,2373,0.2864756199910887,0.1375425650735313,0.6857837000756998,0.7143470790378007
0,1,augmented,match,1,4746,0.5049532711526766,0.2966697542592663,0.9685879120879121,0.8402061855670103
0,1,tstr,match,3,7119,0.34419372370655876,0.17306666485009461,0.7575407021481528,0.7104453035509737
0,1,augmented,match,3,9492,0.5325176480656426,0.3022469540036293,1.0,0.780569873997709
0,1,tstr,match,10,23730,0.2852838123318388,0.12414510659721784,0.8368802534019925,0.6943012600229096
0,1,augmented,match,10,26103,0.5243560824916479,0.2896526607252815,1.0,0.8232388316151202
0,1,tstr,balanced,1,2373,0.29166684394244,0.1321673463536986,0.7516672334999569,0.6140463917525774
0,1,augmented,balanced,1,4746,0.5236691801192597,0.29365437035837927,1.0,0.828393470790378
0,1,tstr,balanced,3,7119,0.3975455918206248,0.18837245769141517,0.8956213946937926,0.6960194730813287
0,1,augmented,balanced,3,9492,0.4728557596025645,0.21189567596451406,1.0,0.7911655211912944
0,1,tstr,balanced,10,23730,0.3920831755789182,0.17363599343667868,0.8898264684661744,0.6981672394043528
0,1,augmented,balanced,10,26103,0.2859567370981985,0.10961641096641508,1.0,0.7456328751431844
0,2,trtr,real,1,2387,0.5922516054930475,0.4439640156138944,0.8815285601203378,0.9405809859154931
0,2,tstr,match,1,2387,0.1996022751145026,0.08844738304545789,0.46748646953729694,0.7336414319248826
0,2,augmented,match,1,4774,0.42258137701212695,0.28489300110787297,0.8001213039796709,0.9222417840375587
0,2,tstr,match,3,7161,0.2484061545716423,0.1140058388303449,0.651225823423335,0.7564553990610329
0,2,augmented,match,3,9548,0.4387630995218444,0.23163426340435136,0.7866222281704539,0.8313526995305164
0,2,tstr,match,10,23870,0.2972833458252256,0.13447438082190374,0.5818352763320997,0.817781690140845
0,2,augmented,match,10,26257,0.43520212443034434,0.24733486959255854,0.7807440827570697,0.8686179577464789
0,2,tstr,balanced,1,2387,0.2497674294132263,0.11272060243155929,0.5472256695320364,0.707599765258216
0,2,augmented,balanced,1,4774,0.3734514440037791,0.2532057156264653,0.7648901098901093,0.8439700704225352
0,2,tstr,balanced,3,7161,0.24378283357083202,0.11277200098183031,0.5515184656637042,0.7287265258215962
0,2,augmented,balanced,3,9548,0.4034522399842058,0.21810097334724915,0.7455836013064773,0.8276115023474179
0,2,tstr,balanced,10,23870,0.30050107819400024,0.11540813941746665,0.5892272563331575,0.7519072769953051
0,2,augmented,balanced,10,26257,0.38104144680846386,0.1894514967751509,0.7044996592925395,0.825630868544601
0,3,trtr,real,1,2385,0.46151635496867205,0.26185128918558565,0.7823913418001615,0.8504385964912281
0,3,tstr,match,1,2385,0.5031165840123808,0.3067221939416159,0.8143620211564071,0.8940058479532165
0,3,augmented,match,1,4770,0.507697156457485,0.24829481971509956,0.8279887688259744,0.9070175438596492
0,3,tstr,match,3,7155,0.4675987640867948,0.21221468709589864,0.746357243140783,0.8595029239766082
0,3,augmented,match,3,9540,0.48899004344552405,0.239544335218033,0.8484940343324825,0.8883771929824561
0,3,tstr,match,10,23850,0.3936987932662047,0.21163543827087744,0.7659494769416133,0.827266081871345
0,3,augmented,match,10,26235,0.4516042677494055,0.20824961490057098,0.759061993939959,0.8557748538011696
0,3,tstr,balanced,1,2385,0.46422105202323205,0.23489155028307065,0.8036371919897733,0.9027046783625731
0,3,augmented,balanced,1,4770,0.38882663522674454,0.16614194958097914,0.7315764586379957,0.8263888888888888
0,3,tstr,balanced,3,7155,0.4923368625448291,0.2295826000184223,0.9006063177019058,0.8567251461988304
0,3,augmented,balanced,3,9540,0.4237823084220631,0.2091991779060374,0.789554913713902,0.8332602339181286
0,3,tstr,balanced,10,23850,0.40104588445137823,0.20740966162577945,0.7817637646756387,0.8809210526315789
0,3,augmented,balanced,10,26235,0.42111682788583343,0.1796197174312184,0.7519291767983945,0.8326023391812866
0,4,trtr,real,1,2386,0.5435536360325364,0.32910223458998844,0.9246896582788123,0.8873022847100175
0,4,tstr,match,1,2386,0.4340285239922869,0.2869063238629427,0.8482907196969693,0.7791446983011131
0,4,augmented,match,1,4772,0.558018755647714,0.37158155497971157,1.0,0.8822495606326889
0,4,tstr,match,3,7158,0.452652502312545,0.2581157726470254,0.882485119047619,0.8403632103104862
0,4,augmented,match,3,9544,0.535650507386289,0.36398704860951964,0.9465525793650792,0.8459285295840657
0,4,tstr,match,10,23860,0.4309888732869652,0.24732381838617631,0.9544642857142855,0.8307703573520797
0,4,augmented,match,10,26246,0.5178060385537568,0.34128635877068714,0.9286663216011041,0.8621851200937317
0,4,tstr,balanced,1,2386,0.349882583502597,0.1930426728736309,0.7618752845196785,0.8230082015231399
0,4,augmented,balanced,1,4772,0.6370844711992188,0.41347078031764145,1.0,0.8626977152899825
0,4,tstr,balanced,3,7158,0.44661685549038105,0.2570990030913977,0.8551196352666939,0.8290128881077914
0,4,augmented,balanced,3,9544,0.5795992064653585,0.38345266971397873,0.95724652540442,0.8987990626830697
0,4,tstr,balanced,10,23860,0.4828385561138699,0.29906226345770914,0.921903651506899,0.87997949619215
0,4,augmented,balanced,10,26246,0.501153123456231,0.32599575205855386,0.9019011069340016,0.9151288810779146
1,0,trtr,real,1,2385,0.48550767636541414,0.2427251696863941,0.8393023839263519,0.8573830409356724
1,0,tstr,match,1,2385,0.3494441375024363,0.15188703786336089,0.6808356095918658,0.7676900584795321
1,0,augmented,match,1,4770,0.40332602944889107,0.23025245630030985,0.7416434824242946,0.8438596491228071
1,0,tstr,match,3,7155,0.31186969301117784,0.11644317992485799,0.7267787335912469,0.7835526315789474
1,0,augmented,match,3,9540,0.4377351262711001,0.26694473028976773,0.7328407181054234,0.8554093567251462
1,0,tstr,match,10,23850,0.2604453423238066,0.1264783431815829,0.5914201507556767,0.716374269005848
1,0,augmented,match,10,26235,0.45723804015881137,0.2731507211633272,0.7791406700408775,0.7976608187134502
1,0,tstr,balanced,1,2385,0.3097144639196971,0.1484499985096798,0.6632731766806379,0.8062865497076024
1,0,augmented,balanced,1,4770,0.47322618640807446,0.31068958293320176,0.7750976761694656,0.8646929824561405
1,0,tstr,balanced,3,7155,0.33919161027683764,0.19646849940646524,0.6187775701428987,0.7699561403508772
1,0,augmented,balanced,3,9540,0.4874733736224068,0.2861342422321136,0.8282413303291535,0.8056286549707603
1,0,tstr,balanced,10,23850,0.3906630110906541,0.21468683949251247,0.6657079311046107,0.7896198830409356
1,0,augmented,balanced,10,26235,0.38913582534871155,0.20963099832123916,0.7395360811763623,0.8940058479532165
1,1,trtr,real,1,2373,0.5123843406994288,0.3187053668887978,1.0,0.8399198167239404
1,1,tstr,match,1,2373,0.19020872497153293,0.10153832595602669,0.6591259120238151,0.6643757159221076
1,1,augmented,match,1,4746,0.4322506251865348,0.20844317795000344,0.9479084967320259,0.8029066437571593
1,1,tstr,match,3,7119,0.24667438830880084,0.12655735812971197,0.7614909117595657,0.718213058419244
1,1,augmented,match,3,9492,0.5068290229790147,0.2962046146993187,0.9662848297213622,0.879581901489118
1,1,tstr,match,10,23730,0.21011638831460758,0.10876582285165044,0.6809436163985797,0.6683132875143184
1,1,augmented,match,10,26103,0.43240575204174486,0.22117923696402786,0.9183116336157103,0.7907359679266895
1,1,tstr,balanced,1,2373,0.20785546145744965,0.10775140154248797,0.6537568654729339,0.7086912943871707
1,1,augmented,balanced,1,4746,0.5077926289011966,0.2841531172353257,0.9889772727272726,0.9054266895761741
1,1,tstr,balanced,3,7119,0.1757011565015463,0.0897701578335541,0.5246947829406666,0.728450744558992
1,1,augmented,balanced,3,9492,0.4484267519604602,0.20918906302424983,1.0,0.8452892325315007
1,1,tstr,balanced,10,23730,0.1905773628692924,0.09982208699911657,0.5753668961320563,0.7051116838487973
1,1,augmented,balanced,10,26103,0.3345236707232383,0.12805039920179134,1.0,0.7746277205040092
1,2,trtr,real,1,2387,0.4820375477974698,0.32470028925644584,0.7663329124579125,0.931631455399061
1,2,tstr,match,1,2387,0.2712355400023843,0.15122654934443314,0.5583131704436218,0.7358421361502347
1,2,augmented,match,1,4774,0.4268449150751823,0.2985314868758252,0.6684197408741076,0.9133656103286385
1,2,tstr,match,3,7161,0.27194024308751574,0.13025145470882202,0.5028296756619625,0.714568661971831
1,2,augmented,match,3,9548,0.4014336489182868,0.24288884350423393,0.660809156795054,0.870525234741784
1,2,tstr,match,10,23870,0.36455789100496827,0.263665890674527,0.6181370770595062,0.6561766431924883
1,2,augmented,match,10,26257,0.3780340797840875,0.23137132329484186,0.7015751393217308,0.794087441314554
1,2,tstr,balanced,1,2387,0.33845436968115505,0.2541120913834307,0.6131271536451203,0.7323943661971831
1,2,augmented,balanced,1,4774,0.4338402168113721,0.2765364387556138,0.7533995595961056,0.8942194835680751
1,2,tstr,balanced,3,7161,0.3384627984442484,0.22825563934190832,0.5966587393149484,0.7106073943661972
1,2,augmented,balanced,3,9548,0.42634292326270085,0.2950721617554773,0.7829666818969144,0.863262910798122
1,2,tstr,balanced,10,23870,0.3316429444549625,0.23801736491644832,0.6378656669540443,0.7146420187793427
1,2,augmented,balanced,10,26257,0.43110008113379894,0.2721520278629877,0.7852594627594627,0.837074530516432
1,3,trtr,real,1,2385,0.5251985135372311,0.3115800215099164,0.9113729874842403,0.8508771929824562
1,3,tstr,match,1,2385,0.43157266289636464,0.18731926857115402,0.7775403160868607,0.8103801169590644
1,3,augmented,match,1,4770,0.5639763903113311,0.3203239248561896,0.9442150829822694,0.8713450292397661
1,3,tstr,match,3,7155,0.4665530919741091,0.23373221296646446,0.8156220671204923,0.8172514619883041
1,3,augmented,match,3,9540,0.5663293829872633,0.3307870418916215,0.932502763264312,0.899780701754386
1,3,tstr,match,10,23850,0.5046693527584173,0.23558202518220178,0.8682369826023077,0.837061403508772
1,3,augmented,match,10,26235,0.5699635909055564,0.29832454497395194,0.9235734126984125,0.8771198830409357
1,3,tstr,balanced,1,2385,0.4838092157442522,0.25233358849968396,0.8187485181582489,0.8753654970760234
1,3,augmented,balanced,1,4770,0.4804487384313556,0.2589744453923066,0.9153927847368108,0.9095760233918129
1,3,tstr,balanced,3,7155,0.4600773668789572,0.22143913905144108,0.8237623556998549,0.8717105263157895
1,3,augmented,balanced,3,9540,0.5010819501776281,0.2770607508641325,0.884778364229245,0.8713450292397661
