repeat,fold,arm,k,n_fit_rows,n_positive_subjects,auprc,auprc_lo,auprc_hi,auroc
0,0,real,0,2385,39,0.33817588954020555,0.2133945707208349,0.7158562901328258,0.8532163742690059
0,0,balanced,1,4226,89,0.33353968530322364,0.1838646409316222,0.7295783356366471,0.6955409356725146
0,0,balanced,3,8909,190,0.30342741671712,0.17546889576349115,0.6505153966911746,0.7127192982456141
0,0,balanced,10,23503,544,0.35084749116894326,0.21886590875304018,0.6955351199504061,0.75796783625731
0,1,real,0,2373,38,0.5512957870915066,0.3480757856940193,0.9748249299719888,0.8423539518900344
0,1,balanced,1,4336,88,0.39802775725961076,0.23136043810172438,0.8910969387755103,0.821520618556701
0,1,balanced,3,8888,188,0.4294724402897116,0.2422737764133576,0.8989301042454506,0.8095647193585338
0,1,balanced,10,25134,538,0.4795296780306746,0.27106235628144076,0.905207088662971,0.8845933562428407
0,2,real,0,2387,40,0.5922516054930475,0.4439640156138944,0.8815285601203378,0.9405809859154931
0,2,balanced,1,3905,89,0.5613876887859003,0.3934760978329196,0.9416466972365484,0.8921654929577465
0,2,balanced,3,7443,188,0.5769456409618896,0.4135700104705399,0.9093447606315253,0.928330399061033
0,2,balanced,10,19205,535,0.5951084320199396,0.42076631525151986,0.8951786783319646,0.9454225352112675
0,3,real,0,2385,39,0.46151635496867205,0.26185128918558565,0.7823913418001615,0.8504385964912281
0,3,balanced,1,4509,89,0.3649568671958,0.13985866397531813,0.7711046780326077,0.7407894736842106
0,3,balanced,3,9725,189,0.4413443750466884,0.2037909720583483,0.8075098736407879,0.7393274853801169
0,3,balanced,10,25634,539,0.35604844401208463,0.15247757482367005,0.6805204680240043,0.6480994152046784
0,4,real,0,2386,40,0.5435536360325364,0.32910223458998844,0.9246896582788123,0.8873022847100175
0,4,balanced,1,4770,90,0.6682540374093167,0.4037040380546768,1.0,0.8865700058582308
0,4,balanced,3,9089,190,0.5990889075293433,0.35894091386705873,0.9811740011089095,0.8751464557703573
0,4,balanced,10,23756,540,0.5745086366896576,0.34678724994385707,0.9760230035558984,0.8468804920913884
1,0,real,0,2385,39,0.48550767636541414,0.2427251696863941,0.8393023839263519,0.8573830409356724
1,0,balanced,1,4561,89,0.5417411464633786,0.28088713404367177,0.9121715561224489,0.7408625730994153
1,0,balanced,3,8997,190,0.4710229825466466,0.2531916471044347,0.8170249373836397,0.7322368421052632
1,0,balanced,10,22676,544,0.42841223889001656,0.22116957830427886,0.7617200830323708,0.6914473684210527
1,1,real,0,2373,38,0.5123843406994288,0.3187053668887978,1.0,0.8399198167239404
1,1,balanced,1,4826,87,0.5522252356563637,0.36097157960420084,0.9805194805194806,0.8873138602520045
1,1,balanced,3,9756,186,0.4330112041370714,0.25968301381273595,0.8596295605379956,0.8046248568155785
1,1,balanced,10,24864,533,0.34527670374952746,0.21736115649503077,0.7358401877521378,0.8152205040091638
1,2,real,0,2387,40,0.4820375477974698,0.32470028925644584,0.7663329124579125,0.931631455399061
1,2,balanced,1,4098,89,0.3260094135881101,0.22986837461091864,0.8620047134266982,0.917400234741784
1,2,balanced,3,7841,188,0.5168307553026031,0.3223418798650642,0.9462810672514619,0.8358274647887324
1,2,balanced,10,20117,535,0.5405639513787388,0.377083568572236,0.9558760161582741,0.9278902582159624
1,3,real,0,2385,39,0.5251985135372311,0.3115800215099164,0.9113729874842403,0.8508771929824562
1,3,balanced,1,4347,88,0.48024932993923886,0.2663798389138164,0.8273168101021399,0.8605263157894737
1,3,balanced,3,7950,187,0.5177304499953105,0.28530190281077644,0.8440985591206173,0.860233918128655
1,3,balanced,10,20577,534,0.44199424917387975,0.22360539415001587,0.7962855978781711,0.8051900584795322
1,4,real,0,2386,40,0.5517290591655266,0.3593251711154847,0.8746019546712684,0.8542765084944347
1,4,balanced,1,4514,91,0.5765664501113518,0.33213859480028285,0.9603296703296702,0.8754393673110721
1,4,balanced,3,9039,193,0.48003305804749885,0.27883205216914586,0.8791707516339867,0.8256444053895724
1,4,balanced,10,20958,550,0.44378411294465775,0.23362405893710825,0.894497715247715,0.7776069127123608
2,0,real,0,2371,37,0.5422376531714211,0.31980553369212933,0.8948217830061316,0.8715753424657534
2,0,balanced,1,4546,86,0.505332333973451,0.2699458660318091,0.8941365789852792,0.8243436073059361
2,0,balanced,3,9439,184,0.4557051827468793,0.2517639209474874,0.8294555273936183,0.8563784246575342
2,0,balanced,10,25319,527,0.4635834571890216,0.23304040767583747,0.8572516582432764,0.6719463470319635
2,1,real,0,2391,40,0.5359178394757227,0.39375922430228905,0.9250416666666667,0.8487736406619386
2,1,balanced,1,5013,89,0.5302128924996695,0.4168475868518702,1.0,0.9337322695035462
2,1,balanced,3,9504,187,0.5313935626541604,0.4122412315716609,0.9049145781119464,0.9498374704491725
2,1,balanced,10,26297,530,0.569401864815934,0.4198170471968268,1.0,0.956708037825059
2,2,real,0,2378,40,0.4626130384107963,0.22643697731468881,0.801052337477598,0.8169410745233968
2,2,balanced,1,4689,91,0.33048021168609687,0.1391482303367498,0.6760368061136173,0.8398324667822069
2,2,balanced,3,10035,194,0.4746906327340628,0.2076731485818599,0.823270136566332,0.9224436741767764
2,2,balanced,10,26275,555,0.35242189200359786,0.15369061759685418,0.6955124655409155,0.8788272674754478
2,3,real,0,2389,39,0.47172782420632736,0.21758005955474993,0.9901515151515151,0.7792255594817431
2,3,balanced,1,4725,89,0.6255121109689903,0.34466476885341013,0.9935314685314687,0.9082744405182568
2,3,balanced,3,8208,190,0.6228231612250377,0.3283509805186463,0.9774212819185644,0.8253091872791518
2,3,balanced,10,22775,544,0.5629432938083591,0.3023082282519541,0.9268713521268719,0.8298733804475854
2,4,real,0,2387,40,0.4501914541625894,0.286064804241969,0.9017459359776968,0.7694395539906103
2,4,balanced,1,4696,90,0.3902968451395294,0.2131189044724582,0.8560426214414957,0.7786091549295775
2,4,balanced,3,9329,190,0.44205798956936276,0.25423993667284256,0.8704456375903245,0.7830105633802815
2,4,balanced,10,25331,540,0.32597969525161163,0.1473243743834891,0.9205169079859481,0.7752347417840375
3,0,real,0,2386,38,0.37070358958811045,0.2157056306013362,0.7360313116603039,0.815099589923843
3,0,balanced,1,4601,88,0.4638766073064939,0.269431961720643,0.8231057225121953,0.7077475102519037
3,0,balanced,3,9119,188,0.391770571089253,0.1880395220753924,0.7665483203447437,0.7204159343878148
3,0,balanced,10,24014,538,0.4392618937455051,0.2251294737990191,0.815949089749755,0.752929115407147
3,1,real,0,2383,39,0.6120685917840082,0.4358058486242693,1.0,0.8378496503496504
3,1,balanced,1,4745,88,0.5575126050366385,0.34744235021567244,1.0,0.8525641025641025
3,1,balanced,3,9915,186,0.5838847611556296,0.41694759018085414,0.9835897435897434,0.8734702797202798
3,1,balanced,10,27468,529,0.595797796350566,0.4116011428080454,0.9296759259259259,0.8714306526806527
3,2,real,0,2378,40,0.5797646442375884,0.37922168626954983,0.9342004204058533,0.9291594454072789
3,2,balanced,1,4511,91,0.5914110970865464,0.3658693900638191,0.9702828312663258,0.8572357019064125
3,2,balanced,3,8288,193,0.6413783585222312,0.4242980664280127,0.9047919176745107,0.9370306181398036
3,2,balanced,10,21435,550,0.45266775047219576,0.24070706256524302,0.9127408676030798,0.8367995378393993
3,3,real,0,2386,39,0.5172737333116518,0.2855670072979918,0.8928211372032627,0.8424135910954892
3,3,balanced,1,4190,89,0.553586589257937,0.3008202515208174,0.9086947992167407,0.8481253661394259
3,3,balanced,3,7843,190,0.6448934180902751,0.4530039253458308,0.9388218141507613,0.8848125366139425
3,3,balanced,10,21730,544,0.5691693418811989,0.2918538276939418,0.8913330229080589,0.7992091388400703
3,4,real,0,2383,40,0.4685022226821646,0.2491653636318171,0.867472087845729,0.8479020979020979
3,4,balanced,1,4142,89,0.5027849788200666,0.2480609437320057,0.926051952611283,0.8366113053613053
3,4,balanced,3,8154,188,0.35414332205745,0.1443071752993434,0.9568352699931646,0.8354458041958042
3,4,balanced,10,19965,535,0.49299715122240034,0.21880902720132353,0.9324092670894997,0.8596299533799534
