hadm_id,note_type,backend,model,input_tokens,output_tokens,approx_cost_usd,n_facts,n_sentences,n_cited,n_invalid_citations,faithfulness_rate,timestamp
20192635,discharge_summary,groq,openai/gpt-oss-120b,1516,867,0.00087765,55,29,19,0,1.0,2026-09-05T15:49:57.312119+00:00
20192635,ecg_report_stub,groq,openai/gpt-oss-120b,1551,83,0.00029489999999999996,55,2,1,0,1.0,2026-09-05T15:49:58.164298+00:00
20192635,radiology_report_stub,groq,openai/gpt-oss-120b,1537,106,0.00031005,55,3,2,0,1.0,2026-09-05T15:49:58.934128+00:00
20285402,discharge_summary,groq,openai/gpt-oss-120b,1633,994,0.0009904500000000001,59,43,28,0,1.0,2026-09-05T15:50:01.562067+00:00
20285402,radiology_report_stub,groq,openai/gpt-oss-120b,1654,205,0.00040185000000000004,59,7,6,0,1.0,2026-09-05T15:50:09.012390+00:00
20611796,discharge_summary,groq,openai/gpt-oss-120b,1415,615,0.0006735,44,41,34,0,1.0,2026-09-05T15:50:18.936427+00:00
20611796,ecg_report_stub,groq,openai/gpt-oss-120b,1450,110,0.0003,44,3,2,0,1.0,2026-09-05T15:50:36.928454+00:00
20611796,radiology_report_stub,groq,openai/gpt-oss-120b,1436,108,0.0002964,44,3,1,0,1.0,2026-09-05T15:50:45.920861+00:00
21599196,discharge_summary,groq,openai/gpt-oss-120b,1483,789,0.0008142000000000001,46,36,28,0,1.0,2026-09-05T15:50:56.730451+00:00
21599196,radiology_report_stub,groq,openai/gpt-oss-120b,1504,89,0.00029235000000000003,46,2,1,0,1.0,2026-09-05T15:51:12.368655+00:00
22196214,discharge_summary,groq,openai/gpt-oss-120b,1728,913,0.00094395,56,51,20,0,1.0,2026-09-05T15:51:27.954160+00:00
22196214,radiology_report_stub,groq,openai/gpt-oss-120b,1749,238,0.00044084999999999996,56,8,7,0,1.0,2026-09-05T15:51:46.262455+00:00
22675517,discharge_summary,groq,openai/gpt-oss-120b,1712,922,0.0009482999999999999,57,34,25,0,1.0,2026-09-05T15:52:00.894444+00:00
22675517,nursing_progress_note,groq,openai/gpt-oss-120b,1726,703,0.00078615,57,15,14,0,1.0,2026-09-05T15:52:18.115999+00:00
22675517,ecg_report_stub,groq,openai/gpt-oss-120b,1747,120,0.00035205,57,4,0,0,1.0,2026-09-05T15:52:32.599126+00:00
22675517,radiology_report_stub,groq,openai/gpt-oss-120b,1733,99,0.0003342,57,5,2,0,1.0,2026-09-05T15:52:42.312075+00:00
22797747,discharge_summary,groq,openai/gpt-oss-120b,2058,912,0.0009927,75,42,36,0,1.0,2026-09-05T15:52:58.814760+00:00
22797747,ecg_report_stub,groq,openai/gpt-oss-120b,2093,52,0.00035295,75,1,1,0,1.0,2026-09-05T15:53:19.632911+00:00
22797747,radiology_report_stub,groq,openai/gpt-oss-120b,2079,187,0.0004521,75,5,4,0,1.0,2026-09-05T15:53:36.194778+00:00
22896692,discharge_summary,groq,openai/gpt-oss-120b,607,311,0.0003243,17,22,17,0,1.0,2026-09-05T15:53:40.735881+00:00
23488445,discharge_summary,groq,openai/gpt-oss-120b,1671,691,0.0007689,59,17,10,0,1.0,2026-09-05T15:53:53.752905+00:00
23488445,nursing_progress_note,groq,openai/gpt-oss-120b,1685,740,0.00080775,59,23,20,0,1.0,2026-09-05T15:54:07.932237+00:00
23488445,radiology_report_stub,groq,openai/gpt-oss-120b,1692,100,0.00032879999999999997,59,3,1,0,1.0,2026-09-05T15:54:26.803195+00:00
24490144,discharge_summary,groq,openai/gpt-oss-120b,2044,912,0.0009906,70,30,28,0,1.0,2026-09-05T15:54:42.879096+00:00
24490144,nursing_progress_note,groq,openai/gpt-oss-120b,2058,727,0.00085395,70,16,0,0,1.0,2026-09-05T15:55:00.020045+00:00
24490144,ecg_report_stub,groq,openai/gpt-oss-120b,2079,159,0.00043109999999999996,70,8,4,0,1.0,2026-09-05T15:55:20.459195+00:00
24490144,radiology_report_stub,groq,openai/gpt-oss-120b,2065,219,0.000474,70,7,6,0,1.0,2026-09-05T15:55:35.524365+00:00
24912093,discharge_summary,groq,openai/gpt-oss-120b,1470,959,0.00093975,44,47,37,0,1.0,2026-09-05T15:55:47.854540+00:00
24912093,ecg_report_stub,groq,openai/gpt-oss-120b,1505,64,0.00027375,44,1,1,0,1.0,2026-09-05T15:56:00.633053+00:00
24928679,discharge_summary,groq,openai/gpt-oss-120b,2152,1111,0.00115605,82,83,70,0,1.0,2026-09-05T15:56:19.679140+00:00
24928679,nursing_progress_note,groq,openai/gpt-oss-120b,2166,984,0.0010629,82,48,36,0,1.0,2026-09-05T15:56:43.480630+00:00
24928679,radiology_report_stub,groq,openai/gpt-oss-120b,2173,306,0.0005554500000000001,82,11,0,0,1.0,2026-09-05T15:57:05.029885+00:00
25020332,discharge_summary,groq,openai/gpt-oss-120b,1587,1011,0.0009962999999999999,55,56,33,0,1.0,2026-09-05T15:57:19.875338+00:00
25020332,ecg_report_stub,groq,openai/gpt-oss-120b,1622,99,0.00031754999999999994,55,3,2,0,1.0,2026-09-05T15:57:35.727324+00:00
25020332,radiology_report_stub,groq,openai/gpt-oss-120b,1608,131,0.00033945,55,3,2,0,1.0,2026-09-05T15:57:46.693258+00:00
25135483,discharge_summary,groq,openai/gpt-oss-120b,1880,1135,0.00113325,64,57,46,0,1.0,2026-09-05T15:58:03.777538+00:00
25135483,radiology_report_stub,groq,openai/gpt-oss-120b,1901,183,0.00042239999999999997,64,11,5,0,1.0,2026-09-05T15:58:22.902628+00:00
25970245,discharge_summary,groq,openai/gpt-oss-120b,1724,844,0.0008915999999999999,56,36,10,0,1.0,2026-09-05T15:58:25.248669+00:00
25970245,ecg_report_stub,groq,openai/gpt-oss-120b,1759,65,0.00031259999999999995,56,1,1,0,1.0,2026-09-05T15:58:41.013309+00:00
25970245,radiology_report_stub,groq,openai/gpt-oss-120b,1745,81,0.0003225,56,3,1,0,1.0,2026-09-05T15:58:53.273539+00:00
25973915,discharge_summary,groq,openai/gpt-oss-120b,2260,968,0.001065,76,41,29,0,1.0,2026-09-05T15:59:09.982605+00:00
25973915,ecg_report_stub,groq,openai/gpt-oss-120b,2295,158,0.00046275,76,3,1,0,1.0,2026-09-05T15:59:33.087784+00:00
25973915,radiology_report_stub,groq,openai/gpt-oss-120b,2281,283,0.0005543999999999999,76,11,10,0,1.0,2026-09-05T15:59:49.340458+00:00
26158160,discharge_summary,groq,openai/gpt-oss-120b,1498,582,0.0006612,49,13,3,0,1.0,2026-09-05T16:00:02.018032+00:00
26228185,discharge_summary,groq,openai/gpt-oss-120b,2043,950,0.00101895,77,39,34,0,1.0,2026-09-05T16:00:21.687842+00:00
26228185,radiology_report_stub,groq,openai/gpt-oss-120b,2064,147,0.00041985,77,4,3,0,1.0,2026-09-05T16:00:39.762918+00:00
27154822,discharge_summary,groq,openai/gpt-oss-120b,1613,870,0.0008944500000000001,57,20,11,0,1.0,2026-09-05T16:00:52.869091+00:00
27154822,nursing_progress_note,groq,openai/gpt-oss-120b,1627,665,0.0007428,57,15,14,0,1.0,2026-09-05T16:01:11.253988+00:00
27154822,ecg_report_stub,groq,openai/gpt-oss-120b,1648,108,0.0003282,57,1,1,0,1.0,2026-09-05T16:01:24.699000+00:00
27562275,discharge_summary,groq,openai/gpt-oss-120b,1714,817,0.0008698499999999999,59,17,9,0,1.0,2026-09-05T16:01:36.839607+00:00
27562275,ecg_report_stub,groq,openai/gpt-oss-120b,1749,59,0.00030659999999999997,59,1,0,0,1.0,2026-09-05T16:01:51.609614+00:00
27617929,discharge_summary,groq,openai/gpt-oss-120b,2503,1170,0.00125295,88,55,43,0,1.0,2026-09-05T16:02:12.642868+00:00
27617929,nursing_progress_note,groq,openai/gpt-oss-120b,2517,832,0.00100155,88,16,12,0,1.0,2026-09-05T16:02:37.702077+00:00
27617929,ecg_report_stub,groq,openai/gpt-oss-120b,2538,123,0.00047295,88,2,2,0,1.0,2026-09-05T16:02:58.621749+00:00
27617929,radiology_report_stub,groq,openai/gpt-oss-120b,2524,234,0.0005540999999999999,88,17,8,0,1.0,2026-09-05T16:03:16.780113+00:00
27738145,discharge_summary,groq,openai/gpt-oss-120b,3246,1195,0.00138315,119,28,16,0,1.0,2026-09-05T16:03:45.286114+00:00
27738145,nursing_progress_note,groq,openai/gpt-oss-120b,3260,844,0.001122,119,17,13,0,1.0,2026-09-05T16:04:14.866995+00:00
27738145,radiology_report_stub,groq,openai/gpt-oss-120b,3267,360,0.00076005,119,10,10,0,1.0,2026-09-05T16:04:43.159862+00:00
28003918,discharge_summary,groq,openai/gpt-oss-120b,1250,890,0.000855,45,84,35,0,1.0,2026-09-05T16:04:46.239032+00:00
28003918,radiology_report_stub,groq,openai/gpt-oss-120b,1271,126,0.00028514999999999997,45,1,0,0,1.0,2026-09-05T16:04:47.026316+00:00
28477280,discharge_summary,groq,openai/gpt-oss-120b,3015,1108,0.00128325,110,73,51,0,1.0,2026-09-05T16:05:10.006412+00:00
28477280,nursing_progress_note,groq,openai/gpt-oss-120b,3029,595,0.0009005999999999999,110,11,3,0,1.0,2026-09-05T16:05:40.240332+00:00
28477280,ecg_report_stub,groq,openai/gpt-oss-120b,3050,138,0.000561,110,4,3,0,1.0,2026-09-05T16:06:04.395820+00:00
28477280,radiology_report_stub,groq,openai/gpt-oss-120b,3036,295,0.00067665,110,11,10,0,1.0,2026-09-05T16:06:27.094602+00:00
